"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,1402,0.0002,0.0068,0.0275,70388
2020-01-31,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1,1260,0.0141,0.0263,0.0821,56470
2020-01-31,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",2,1389,0.0046,0.0132,0.0616,73688
2020-01-31,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",3,2351,-0.0079,-0.0127,-0.0117,37112
2020-01-31,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,3772,-0.0274,-0.0664,-0.0715,102099
2020-01-31,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,1199,0.0144,0.0261,0.0613,51342
2020-01-31,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,1403,-0.0012,0.0047,0.0526,85544
2020-01-31,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",7,2325,-0.0034,-0.0123,-0.0208,27518
2020-01-31,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",8,2312,0.0122,0.0186,0.0226,25129
2020-01-31,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",9,1539,-0.0072,0.0085,0.0833,66097
2020-01-31,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",10,1385,-0.0039,0.0096,0.0713,61677
2020-01-31,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",11,1393,0.0005,0.0182,0.0746,54714
2020-01-31,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",12,2228,-0.0091,-0.0084,0.0091,30597
2020-01-31,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",13,1452,-0.0008,0.0049,-0.002,40397
2020-01-31,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",14,2606,-0.004,0.0245,0.0387,35009
2020-01-31,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",15,2928,-0.0142,-0.0069,0.0641,25736
2020-01-31,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",16,2784,-0.0168,-0.0058,0.0353,16042
